,raw_text,stemming_remove_stopwords,stemming,lemmatizing_remove_stopwords,lemmatizing,label
179,"Great culture- intense when it needed to be\, goofy at other times",great cultur intens need goofi time,great cultur intens when it need to be goofi at other time,great culture intense need goofy time,great culture intense when it need to be goofy at other time,POSITIVE
180,Nice Friendly Environment to work in Not many challenging projects to work on,nice friendli environ work mani challeng project work,nice friendli environ to work in not mani challeng project to work on,nice friendly environment work many challenge project work,nice friendly environment to work in not many challenge project to work on,NEUTRAL
181,"decent compensation\, often above market high staff turnover\, senior management instability",decent compens often market high staff turnov senior manag instabl,decent compens often abov market high staff turnov senior manag instabl,decent compensation often market high staff turnover senior management instability,decent compensation often above market high staff turnover senior management instability,NEUTRAL
182,Intellectual challenging fast paced global Negative people that are looking after themselves a lot. Should be more team focused.,intellectu challeng fast pace global neg peopl look lot team focus,intellectu challeng fast pace global neg peopl that are look after themselv a lot should be more team focus,intellectual challenge fast pace global negative people look lot team focus,intellectual challenge fast pace global negative people that be look after themselves a lot should be more team focus,NEGATIVE
183,"sent me on secondment abroad. No career growth\, fears of layoffs\, very noncompetitive pay",sent second abroad career growth fear layoff noncompetit pay,sent me on second abroad No career growth fear of layoff veri noncompetit pay,send secondment abroad career growth fear layoff noncompetitive pay,send me on secondment abroad no career growth fear of layoff very noncompetitive pay,NEGATIVE
184,"good place to work\, nice work environment.",good place work nice work environ,good place to work nice work environ,good place work nice work environment,good place to work nice work environment,POSITIVE
185,Interview is simply and standardized,interview simpli standard,interview is simpli and standard,interview simply standardize,interview be simply and standardize,POSITIVE
186,"good company\, great culture\, appreciate employees no advancement for higher level position",good compani great cultur appreci employe advanc higher level posit,good compani great cultur appreci employe no advanc for higher level posit,good company great culture appreciate employee advancement higher level position,good company great culture appreciate employee no advancement for higher level position,NEUTRAL
187,"Good Technical Work\, Agile Follower",good technic work agil follow,good technic work agil follow,good technical work agile follower,good technical work agile follower,POSITIVE
188,Lots of turnover. Employees are underpaid.,lot turnov employe underpaid,lot of turnov employe are underpaid,lot turnover employee underpay,lot of turnover employee be underpay,NEGATIVE
